Topic Name (Required),Topic Description (Optional),Topic Type (Optional),Native Text (Required),Native Context Line (Optional),Translation Text (Required),Translation Context Line (Optional),Translation Hint (Optional),Pronunciation Override (Optional)
Greetings & Social Phrases,Common phrases for daily social interaction. Essential for politeness and basic communication.,2 - Phrases,Good morning,,おはようございます,Formal,,
Greetings & Social Phrases,,,Hello / Good afternoon,,こんにちは,,,
Greetings & Social Phrases,,,Good evening,,こんばんは,,,
Greetings & Social Phrases,,,Goodbye,,さようなら,,,
Greetings & Social Phrases,,,See you later,,またね,Casual/friendly,,
Greetings & Social Phrases,,,Good night,,おやすみなさい,Polite; said before going to sleep or parting at night,,
Greetings & Social Phrases,,,Thank you,,ありがとうございます,Formal,,
Greetings & Social Phrases,,,You're welcome,,どういたしまして,,,
Greetings & Social Phrases,,,Nice to meet you,,はじめまして,Literally '(it is) for the first time (meeting you)',,
Greetings & Social Phrases,,,Pleased to make your acquaintance,,どうぞよろしくお願いします,Set phrase; often follows self-introduction,どうぞよろしくおねがいします,どうぞよろしくおねがいします
Greetings & Social Phrases,,,I'm leaving / I'll be back,,いってきます,Said when leaving home/work; expected reply is いってらっしゃい,,
Greetings & Social Phrases,,,Have a good day / See you later,,いってらっしゃい,Said to someone leaving; reply to いってきます,,
Greetings & Social Phrases,,,I'm home,,ただいま,Said upon returning home,,
Greetings & Social Phrases,,,Welcome home,,おかえりなさい,Said to someone returning; casual variant: おかえり,,
Greetings & Social Phrases,,,Let's eat / I humbly receive,,いただきます,Said before eating,,
Greetings & Social Phrases,,,Thank you for the meal,,ごちそうさまでした,Said after eating; thanks to the cook/host,,
Greetings & Social Phrases,,,Excuse me / I'm sorry,,すみません,Polite; to get attention or apologize; can imply 'thank you',,
Greetings & Social Phrases,,,I'm sorry,,ごめんなさい,Casual apology,,
Greetings & Social Phrases,,,Please; Here you go,,どうぞ,When offering or handing something,,
Greetings & Social Phrases,,,Congratulations,,おめでとう,Casual; politer form: おめでとうございます,,
Common Questions & Requests,"Essential everyday questions, requests, and useful phrases.",2 - Phrases,What is your name?,,お名前は何ですか,,おなまえはなんですか,おなまえはなんですか
Common Questions & Requests,,,My name is ~.,,〜です,,,
Common Questions & Requests,,,I came from ~.,,〜から来ました,Often used in self-introductions,からきました,からきました
Common Questions & Requests,,,What is this?,,これは何ですか,,これはなんですか,これはなんですか
Common Questions & Requests,,,Where is the restroom?,,トイレはどこですか,,,
Common Questions & Requests,,,How much is it?,,いくらですか,,,
Common Questions & Requests,,,"This one, please.",Requesting an item,これおください,,,
Common Questions & Requests,,,Please (do this).,,お願いします,Polite request,おねがいします,おねがいします
Common Questions & Requests,,,I don't understand.,,分かりません,,わかりません,わかりません
Common Questions & Requests,,,One more time,Asking to repeat,もう一度お願いします,,もういちどおねがいします,もういちどおねがいします
Common Questions & Requests,,,Please speak slowly.,,ゆっくり話してください,,ゆっくりはなしてください,ゆっくりはなしてください
Common Questions & Requests,,,Do you speak English?,,英語が話せますか,,えいごがはなせますか,えいごがはなせますか
Common Questions & Requests,,,It's okay; I'm fine.,,大丈夫です,,だいじょうぶです,だいじょうぶです
Common Questions & Requests,,,Cheers!,,乾杯！,Said when toasting,かんぱい,かんぱい！
Common Questions & Requests,,,When is it?,,いつですか,,,
Common Questions & Requests,,,Where are you from?,,どこから来ましたか,,どこからきましたか,どこからきましたか
Demonstratives (Ko-so-a-do),"Words for pointing things out (this, that, here, there, etc.).",0 - Vocab,this (thing),,これ,,,
Demonstratives (Ko-so-a-do),,,that (thing near you),,それ,,,
Demonstratives (Ko-so-a-do),,,that (thing over there),,あれ,,,
Demonstratives (Ko-so-a-do),,,which (thing)?,,どれ,,,
Demonstratives (Ko-so-a-do),,,this ~ (noun),,この,,,
Demonstratives (Ko-so-a-do),,,that ~ (noun),,その,,,
Demonstratives (Ko-so-a-do),,,"that ~ (over there, noun)",,あの,,,
Demonstratives (Ko-so-a-do),,,which ~ (noun)?,,どの,,,
Demonstratives (Ko-so-a-do),,,here (location),,ここ,,,
Demonstratives (Ko-so-a-do),,,there (location near you),,そこ,,,
Demonstratives (Ko-so-a-do),,,over there (location),,あそこ,,,
Demonstratives (Ko-so-a-do),,,where?,,どこ,,,
Demonstratives (Ko-so-a-do),,,here; this way (polite),,こちら,,,
Demonstratives (Ko-so-a-do),,,there; that way (polite),,そちら,,,
Demonstratives (Ko-so-a-do),,,over there; that way (polite),,あちら,,,
Demonstratives (Ko-so-a-do),,,where; which (polite)?,,どちら,,,
Demonstratives (Ko-so-a-do),,,like this; this way,,こう,,,
Demonstratives (Ko-so-a-do),,,like that; that way,,そう,,,
Demonstratives (Ko-so-a-do),,,like that (far); that way (far),,ああ,,,
Demonstratives (Ko-so-a-do),,,how; in what way,,どう,,,
People & Family,"Vocabulary for referring to people, family members, and professions.",0 - Vocab,I; me,,私,,わたし,わたし
People & Family,,,you,,あなた,,,
People & Family,,,person,,人,,ひと,ひと
People & Family,,,man,,男の人,,おとこのひと,おとこのひと
People & Family,,,woman,,女の人,,おんなのひと,おんなのひと
People & Family,,,student,,学生,,がくせい,がくせい
People & Family,,,teacher,,先生,,せんせい,せんせい
People & Family,,,friend,,友達,,ともだち,ともだち
People & Family,,,family,,家族,,かぞく,かぞく
People & Family,,,father,,お父さん,Respectful/polite form for others' fathers,おとうさん,おとうさん
People & Family,,,(my) father,,父,Humble form for one's own father,ちち,ちち
People & Family,,,mother,,お母さん,Respectful/polite form for others' mothers,おかあさん,おかあさん
People & Family,,,(my) mother,,母,Humble form for one's own mother,はは,はは
People & Family,,,older brother,,お兄さん,Respectful/polite form for others' older brothers,おにいさん,おにいさん
People & Family,,,(my) older brother,,兄,Humble form for one's own older brother,あに,あに
People & Family,,,older sister,,お姉さん,Respectful/polite form for others' older sisters,おねえさん,おねえさん
People & Family,,,(my) older sister,,姉,Humble form for one's own older sister,あね,あね
People & Family,,,child; children,,子供,,こども,こども
People & Family,,,parents,,両親,,りょうしん,りょうしん
People & Family,,,grandfather,,祖父,Humble form for one's own grandfather,そふ,そふ
People & Family,,,grandmother,,祖母,Humble form for one's own grandmother,そぼ,そぼ
People & Family,,,siblings,,兄弟,Brothers; can refer to brothers and sisters together,きょうだい,きょうだい
People & Family,,,sisters,,姉妹,,しまい,しまい
Numbers & Counters,"Basic numbers and counting words (age, people, etc.).",0 - Vocab,zero,,零,,れい,れい
Numbers & Counters,,,one,,一,,いち,いち
Numbers & Counters,,,two,,二,,に,に
